City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
335,Opuwo,NA,-18.06,13.84,69.21,37,6,5.1,clear sky
336,Playas,EC,-2.63,-80.38,70.03,82,100,8.72,overcast clouds
337,Ios,GR,36.73,25.28,66.99,77,20,8.05,few clouds
338,Dauphin,CA,51.15,-100.05,23.0,79,90,9.17,overcast clouds
339,Mastic Beach,US,40.77,-72.85,51.8,62,1,13.87,clear sky
340,Nan,TH,18.83,100.67,80.6,61,0,3.36,clear sky
341,Sabzevar,IR,36.21,57.68,51.8,37,0,13.87,clear sky
342,Qarqin,AF,37.42,66.04,60.6,30,0,11.56,clear sky
343,Roald,NO,62.58,6.13,46.4,93,100,10.29,light rain
344,Nola,IT,40.92,14.53,55.0,93,40,1.12,scattered clouds
345,Port Macquarie,AU,-31.43,152.92,66.2,82,90,12.75,overcast clouds
346,Portobelo,PA,9.55,-79.65,78.8,94,40,6.93,scattered clouds
347,Te Anau,NZ,-45.42,167.72,57.11,93,100,1.03,moderate rain
348,Guasdualito,VE,7.24,-70.73,71.83,96,85,3.02,overcast clouds
349,Veraval,IN,20.9,70.37,85.68,49,16,3.85,few clouds
350,Aragats,AM,40.49,44.35,44.6,70,0,2.55,clear sky
351,Shimoda,JP,34.67,138.95,66.2,52,20,8.05,few clouds
352,Gushikawa,JP,26.35,127.87,77.0,53,90,14.99,overcast clouds
353,Mandalay,MM,21.97,96.08,86.0,74,75,3.36,broken clouds
354,Guiglo,CI,6.55,-7.5,69.42,98,65,1.86,broken clouds
355,Mount Isa,AU,-20.73,139.5,87.8,25,8,10.29,clear sky
356,Otjiwarongo,NA,-20.46,16.65,72.54,22,86,5.86,overcast clouds
357,Bud,US,39.45,-86.18,46.0,70,90,6.93,overcast clouds
358,Maniitsoq,GL,65.42,-52.9,23.16,84,43,7.81,scattered clouds
359,Urucui,BR,-7.23,-44.56,77.34,76,94,2.3,light rain
360,Noumea,NC,-22.28,166.46,86.0,48,90,6.93,overcast clouds
361,Wysokie Mazowieckie,PL,52.92,22.52,48.99,93,6,5.44,clear sky
